Source,Word,Definition
ABC of Arabic Cuisine,Coriander,"Lacy, green-leaf relative of the parsley family with an extremely pungent flavour akin to a combination of lemon, sage and caraway."
ABC of Arabic Cuisine,Makloubeh,"Meat or fish with rice, broad beans and cauliflower"
ABC of Arabic Cuisine,Mish mish,Apricots
ABC of Arabic Cuisine,Mouhammara,"Mixture of ground nuts, olive oil, cumin and chillis, eaten with Arabic bread"
ABC of Arabic Cuisine,Sayyadiya,Delicately-spiced fish dish served on a bed of rice
ABC of Arabic Cuisine,Pine nutsSukkar,Sugar
ABC of Arabic Cuisine,Tabbouleh,"Salad of burghul , tomato, mint and parsley [picture]"
ADHESIVE,absorbency,absorption
ADHESIVE,"absorptionabsorption rate,accelerated ageing",vieillissement accéléré
ADHESIVE,activation,activation
ADHESIVE,admixtures,additif
ADHESIVE,adsorption,adsorption
ADHESIVE,air voids,teneur en air occlus
ADHESIVE,anchorage,accrochage
ADHESIVE,angle cut,"""coupe diagonale; coupe oblique"""
ADHESIVE,anhydrite,anhydrite
ADHESIVE,antifreeze,additif antigel
ADHESIVE,apply (lo),appliquer
ADHESIVE,assembling,assembler
ADHESIVE,back split,"""ligne de rupture; de séparation"""
ADHESIVE,bath life,"""vie en pot; délai d'utilisation"""
ADHESIVE,bleed (to),"""saigner; Muer"""
ADHESIVE,blistering,formation de bulles
ADHESIVE,block (to),"""bloquer; blocage; coller"""
ADHESIVE,block die,forme de découpe systématique
ADHESIVE,bond (to),"""adhérer; lier"""
ADHESIVE,bond line,couche de colle
ADHESIVE,"adhérence""bonding aid",primaire d'adhérence
ADHESIVE,fragilitébronze printing,bronzer
ADHESIVE,brush (to),brosser
ADHESIVE,butt joint,joint d'amortissement
ADHESIVE,cast film,film (enduit)
ADHESIVE,catalyseur(cellulose acetate,acétate de cellulose
ADHESIVE,coat (to),"""enduire; appliquer"""
ADHESIVE,cold flow,fluage à froid
ADHESIVE,continuous,continue
ADHESIVE,converter,transformateur
ADHESIVE,copolymer,copolymère
ADHESIVE,corrosion,corrosion
ADHESIVE,couverturecrack-bridging,bouche fissure
ADHESIVE,crinkling,"""plissage; froissage;"""
ADHESIVE,crosslinkcrosslinked,réticulé
ADHESIVE,cure (to),durcir
ADHESIVE,curl (to),"""rouler; tuiler"""
ADHESIVE,curvature,courbure
ADHESIVE,cut lines,repères de coupe
ADHESIVE,découpage.cutting and creasing,découpeage et rainurage
ADHESIVE,damp rooms,pièces humides
ADHESIVE,defoamers,agent antimousse
ADHESIVE,délaminage/delayed action heatseal,thermocollant retardé
ADHESIVE,déphasagedensity,densité
ADHESIVE,deodorize,désodoriser
ADHESIVE,"profondeur""design","""original; dessin; trace"""
ADHESIVE,dessicated,séché
ADHESIVE,die coater,enduction par buse
ADHESIVE,diffusion,diffusion
ADHESIVE,dispenser,distributeur
ADHESIVE,"deux côtes,double sided adhesive",adhésive double face
ADHESIVE,béton secdry-mix mortar,mortier sec
ADHESIVE,dwell time,temps de pause
ADHESIVE,edge bleed,"""fluage sur les bords; saigner"""
ADHESIVE,edge lift,délaminage aux bords
ADHESIVE,elastical,élastique
ADHESIVE,elasticity,élasticité
ADHESIVE,elastomer,élastomère
ADHESIVE,emulsifier,émulsifiant
ADHESIVE,engraving,gravure
ADHESIVE,extenders,charge
ADHESIVE,face paper,papier étiquette
ADHESIVE,feed (to),"""alimentation; alimenter"""
ADHESIVE,fine stuff,produit de ragréage
ADHESIVE,finishing,finition
ADHESIVE,fish eyes,"""défaut d'étalement; formation de cratères"""
ADHESIVE,flat roof,toit horizontal
ADHESIVE,non-tissés&flexibility,"""flexibilité; souplesse"""
ADHESIVE,flock (to),flocage
ADHESIVE,floor seal,finition de chape
ADHESIVE,flow (to),couler
ADHESIVE,fluatationfly ash,cendres volantes
ADHESIVE,gapfiller,remplissant pour joints
ADHESIVE,gel point,point de gélification
ADHESIVE,hardening,durcissement
ADHESIVE,high gloss,haute brillance
ADHESIVE,hydration,hydratation
ADHESIVE,hydrolysis,hydrolyse
ADHESIVE,hydrophilehydrophobic,hydrophobe
ADHESIVE,impregnateimpregnation,imprégnation
ADHESIVE,impression,impression
ADHESIVE,inhibitor,"""inhibiteur; retardateur"""
ADHESIVE,initiator,initiateur
ADHESIVE,injection,injection
ADHESIVE,label (to),étiqueter
ADHESIVE,lamination,contrecollage
ADHESIVE,lap joint,joint à recouvrement
ADHESIVE,lengthwise,sens de la longueur
ADHESIVE,light fast,solide à la lumière
ADHESIVE,make ready,mise en train sur la machine
ADHESIVE,mechanical,mécanique
ADHESIVE,mesh size,taille des mailles de filtration
ADHESIVE,metal foil,feuille métallique
ADHESIVE,meyer bar,barre de meyer
ADHESIVE,microwaves,micro-ondes
ADHESIVE,migration,"""pénétration; migration"""
ADHESIVE,mélangeurmixture,mélange
ADHESIVE,non-woven,non-tissés
ADHESIVE,odourfree,inodore
ADHESIVE,odourless,inodore
ADHESIVE,emballage2paint compatibility,compatible avec une peinture
