headword,definition
ؠا,بين ثقافي
ؠبٵٵ,ذوباني
ؠت,سرع الأكل | مُنْضَوٍ
ؠشٷ,تصدق بـ
ؠكخٚ,صدمة كهربائية
ؠ٪ٔ,تَحَالَفَ
ءإحءټ,ثار غضب اِسْتَشَاطَ غضبا
ءا,تنكرز
ءض,أَغْلَقَ
ءلس٦,مُقْتَضَى
ءي,مُنِحَ
آؠ,تَمَاثُل | ضَرْع
آبِدَة,أَوَابِد
آتٍ,قادم | وافد
آتٍقادم,الآتي
آتٍوافد,الآتي
آتَى,ناسب
آثِم,أَثَمَة
آحَاد,إحْدَى
آخَر,أُخْرَى
آخِر,نهاية | أَوَاخِرُ
آدميّ,من آدم
آدَمِيّ,أَوَادِمُ
آذ,آجر حراري
آذان الدب,نَبات
آذَى,يؤذي
آرغوس,اليونان
آرغون,غاز خامل
آرغونغاز خامل,أرجون
آزَرَ,يؤازر
آسيّة,فصيلة نباتية
آسِر,معتقل
آصِرَة,أَوَاصِر آصَار
آكل لحوم البشر,أكلة لحوم البشر
آكِل,أكلة
آلاَت,الكمبيوتر
آلة تصوير,آلات تصوير
آلة حربية,كِبَاش كُبُوش
آلة موسيقية,دُفُوف
آلة ناسخة,آلة تصوير المستندات
آلَة,آلاَت
آلَفَ,عاشر | أَلِفَ جعله يحبه | أَلِفَ | أَلِفَ جعله يحبه
آلِف,صديق
آمر,حُكَّام
آنِيَة,أَوَانٍ الأوانِي
آنِيّ,فوريّ
آيوا,الولايات المتحدة
آيَة,آي الذكر الحكيم | علامة | معجزة | تحفة | نموذج
أئ,سلموني
أبجدي,حُرُوف أَحْرُف
أبراميس,سمك
أبرشي,أحد أبناء الأبرشية
أبرونيا,شجيرة
أبسالوم,إبن الملك داود
أبو النوم,نبتة الخشخاش
أبو سعن,طائر
أبو عدس,مها أبو عدس
أبو فصادة,طائر
أبو كعب,مرض
أبو مقص,حشرة
أبو ملعقة,طائر
أبوا,آلة نفخ خشبية
أبوماتوكس,الولايات المتحدة
أبيجان,مدينة قي ساحل العاج
أبيليا,نبات | شجيرة | شجيرة
أتابك,لقب تركي
أتون,قَمَائِنُ
أتيكا,اليونان
أث,سَفُوف | شيش
أثاث,فُرُوش
أثار اهتمامه,أثار اهتمام
أثر رجعي,آثار رجعية
أجهد,إضناء
أجَشّ,جُشّ
أحد أبناء كوبيك,كندا
أحمد آباد,الهند
أحمد سوكارنو,أوّل رئيس لأندونيسيا
أخت,أَخَوَات
أخصائي الحميات,أخصائيو الحميات
أخطأ,أَخْفَقَ
أخيراً,مؤخراً
أخِيذ,المأخوذُ أَسيراً
أداة التعريف,لغة
أداة يطين بها,مَوالِج
أدرنة,تركيا
أدعج,العين
أديس أبابا,عاصمة أثيوبيا
أديليد,جنوب أستراليا
أديم الأرض وجهها,أُدْم آدِمَة
أذن الفأر,نبات
أربد,أفعى | اللون
أرثوذكسي,اورثوذكسي
أرجية,حساسية
أرزية,شجرة
أرسطو,فيلسوف يوناني قديم
أرسين,غاز
أرض,حُقُول
أرض البنط,الصومال
أرض جبليّة,أراضي جبليّة
أرض زراعية,أراضي زراعية
أرضة,سوسة خشب
أرطماسيا,نبات عشبي
أرقط,نمر
أركاديا,اليونان
أركنساس,الولايات المتحدة
أركنسو,الولايات المتحدة
أرمل,أَرَامِل
أرملأَرَامِل,أرملة
أريزونا,الولايات المتحدة
أز,إِضَافَة
أزالِيّة,نبات
أزَّرَ,قَوَّى
أزٸ,مُشَكِّل
أساس راسخ,أسس راسخة
أسباراجين,حمض أميني
أسبارطة,مدينة يونانية قديمة
أسبارطي,أحد أبناء أسبارطة
أسبوع,أسابيع
أستاتين,عنصر مشع
أستراتيجي,ستراتيجي
أستراتيجية,ستراتيجية
أسطانا,عاصمة كازاخستان
أسطرلاب,آلة فلكية قديمة
أسكيدنيا,شجرة
أسلوب,تَعَابِيرُ
أسونسيون,عاصمة باراغواي
أسيتات,ملح
أسيكلوفر,مضاد للفيروسات
أشْرَس,شَرْساءُ
أصحر,اللون
أصف,نبات
أصفرلون,صفراء
أصل,مَعَادِنُ
أصلاً,قطعاً | في الأصل | قطعاً
أصم,متعلق بالغدد الصماء | عدد
أصهب,اللون
أصيص,أصوص
أصَمّ,أَطْرَش
أضنة,تركيا
