direction,headword,definition
en,!abbothead of an abbey,abbesB
en,!acinussmall saclike dilation (in a gland),acini
en,"""gnawto bite to chew; to corrodeDgnawed",gnawn
en,"""primary school",elementary school
en,#hoagielarge sandwich,hoagyY
en,#thalmencephalon,diencephalon | midbrain
en,$aforementioned,the one previously mentionedD |
en,$Drosophila melanogaster,type of fruit fly
en,$every man Jack,everyone | every single person
en,$single-handed,unassisted | aloneQB |
en,%Divina Commedia,the Divine Comedy | an epic poem by Dante
en,%wroublethe unit of money in Russia,ruble
en,&ectopic gestation,extrauterine pregnancy
en,&headyintoxicating (liquor) exhilarating,headier | headiestK |
en,&not mince words,to say smth clearly and directlymince no words
en,'Elxcity in Spain,Elche
en,'military drill,military training
en,'millenniumtime period of 1000 years; thousandth year anniversary,millennia | millenniumsK
en,'pBP7QBP7N7N) BP7N'7BP7QN),BP7N
en,'rote learning,learning by repetition
en,(!committed to prison,be sent to prison
en,('G,",PEN'"
en,"(J,",DHF
en,(P/Q,F8J
en,(Rthrow curve balls,to surprise (smo) with a problem
en,(speakto talk to utter wordsR,spokespoken
en,+7it's none of your business,none of your business
en,+HE,E9EQ
en,+N(N*N,13.
en,+N(QN,*NEQN
en,+Wif worst comes to worst,in the worst caseworst come to worst
en,",,gladhappy delighted; causing delight",gladder | gladdestB |
en,",JE",",JEFJ2JHE"
en,",N-RAND",",N-N'APDO"
en,",N/Q",3DA
en,",NDND",G'EQ
en,",NDR.",E3QF
en,",NEND",",PEN'D"
en,",NEQ",",N'EQ"
en,",NFRJ",*-BJB
en,",OHF",".DJ,"
en,",PDQ",EO3PFQ
en,-(Q,-NFN'F
en,-algia,a suffixed word denoting pain
en,-algic,a suffixed word denoting pain
en,-cephalic,headed relating to the head | headed | relating to the head
en,-DQ,ACQ
en,-morphous,having a certain form
en,-mouthed,having a certain mouth
en,-N/QN+N,1HI
en,-NBNFN,21B
en,-NBQN,-NBQN DG
en,-NBRF,21B
en,-NCNI,'P-RCP
en,-NCPJE,AJD3HA
en,-NDNB,BO1R
en,-NDPJA,-ODNAN'
en,-NDPJD,"2H,"
en,-NENDN,'P-REPDR
en,-NHRDN,EF -HD
en,-NJNHJQ,",HG1J"
en,-NJRA,8DE
en,-O(Q,GHI
en,"-O,QN)",H+JB)
en,-ODRE,EF 'D-DE
en,-OEQNI,-OEQNJN'
en,-OHD,-NHRD'
en,-thymia,condition of mind state of mind | condition of mind | state of mind
en,-wise,in a specific way
en,-wort,a suffix used in names of plants (e.g. lousewort liverwort) | a suffix used in names of plants (e.g. lousewort | liverwort)
en,.AA,GHQF
en,.DHJ,1JAJ
en,.N(QN#N,J.(QP
en,.N/Q,.O/OH
en,.NANI,'P.RAP
en,.NAPJN,'P.RAN
en,.NAPJQ,.NAN'JN'
en,.NAQI,.NAQP
en,.NARB,'DBD(
en,.ND',HNBR
en,".NDPJ,",".ODR,N'F"
en,.NDPJD,94JB
en,.NDQNBN,7NJQN(N
en,.NDQNI,'DEC'F
en,.NDRB,E.DHB'
en,.NHR.,(1BHB
en,.NHRDPJQ,E41A
en,.NJRD,.OJOHD
en,.PDRBPJF,"EP1,ND C(J"
en,.PDRBPJQ,7N(PJ9PJQ
en,/9chip on one's shoulder,habitually combative attitude
en,/loftypompous arrogant,loftier | loftiest
en,/N(Q,2-A
en,/NE,/PEN'
en,00 6bone of contention,a controversial issue
en,10th,tenth
en,16th,sixteenth
en,16th century,the sixteenth century
en,17th,seventeenth
en,1st,first
en,20-20 hindsight,perfect understanding of an event after it has happened
en,2aAvasoconstriction,contraction of blood vessels
en,2nd,second
en,2swankimposingly fashionable and elegant,swanker | swankest
en,2youngnot tried or tested by experience,younger | youngest%C
en,3rd,third
en,4out of proportion,not in proportion
en,4th,fourth
en,5crispbrittle tender,crisper | crispest
en,5th,fifth
en,6cleaveR#clove cleft cleaved,cloven | cleft | cleaved
en,6th,sixth
en,7.smallnot big little limited; young; not important,smaller | smallestD
en,7i3shaketo weaken cause to be unstableM,shookshaken
en,7sputumsaliva phlegm,sputa%b
en,7th,seventh
en,8cavilto make petty or unnecessary objections,caviled | cavilledcaviled | cavilledcaviling | cavilling
en,8th,eighth
en,9neurohypophysis,the posterior pituitary glandneurohypophyses
en,9th,ninth
en,:'D,BAD
en,:NDRJOHF,:ND'JPJFO
en,:NEPJB,:PEN'B
en,:NEQ,:OEOHE
en,:tipsydrunk slightly intoxicated,tipsier | tipsiest
en,;chastepure simple modest,chaster | chastestM
en,;flakymade of flakes; having flakes,flakier | flakiest
en,=judiciousness,sensibleness | good judgement
en,=zlysisdiminution in the symptoms of a disease,lyses
en,">""Gperfidiousness",deceitfulness | untrustworthiness
en,>behind the times,out-of-date | backward
en,?Heart of Darkness,novella written by the Polish-born writer Joseph Conrad (published 1902)
en,?sheeptype of domesticated mammal,sheepR
en,@throw a curve ball,to surprise (smo) with a problem
en,@throw a monkey wrench,to cause smth to failthrow a wrench
en,[4solmizationsolfeggio solf,ge syllables
en,]stroppyargumentative,stroppier | stroppiest
en,^ \condicio sine qua non,an essential condition
en,_get under one's skin,to irritate or upset someone
en,_starchyformal stiff,starchier | starchiest
en,a bit,a small amount
en,a coarse woman,fishwives
en,a couple of,a few some
en,a dime a dozen,very common
en,a far cry,a remote connection only
en,a few,not many but some
en,a few days ago,the other day
en,a fortiori,by a stronger reason
en,A Go-Go,in abundance
en,a good deal,largely a lot
en,a great deal,largely a lot
en,a host of,a large number of
en,a little,slightly | a small amount
en,a minor sin,peccadillos peccadilloes
en,a posteriori,empiric based on observed facts | empiric | based on observed facts
en,a priori,basing on theoretical considerations | based on theoretical considerations
en,a raft of,a large number or amount or extent of
en,a result,children
en,a tad,a little slightly
en,a thought,to a small extent
en,a ton of,a lot of a large | a lot of | a largenumber of
en,a while,a period of time
en,A'DB,AH'DB
en,A*F,J3(PJ
en,A-bomb,atomic bomb
en,A-OK,OK all right
en,A-okay,OK all right
en,A-one,excellent of the highest quality
en,a.k.a.,also known as
en,A.M.,ante meridiem
