headword,definition
!abbothead of an abbey,abbesB
!acinussmall saclike dilation (in a gland),acini
"""gnawto bite to chew; to corrodeDgnawed",gnawn
"""primary school",elementary school
#hoagielarge sandwich,hoagyY
#thalmencephalon,diencephalon | midbrain
$aforementioned,the one previously mentionedD |
$Drosophila melanogaster,type of fruit fly
$every man Jack,everyone | every single person
$single-handed,unassisted | aloneQB |
%Divina Commedia,the Divine Comedy | an epic poem by Dante
%wroublethe unit of money in Russia,ruble
&ectopic gestation,extrauterine pregnancy
&headyintoxicating (liquor) exhilarating,headier | headiestK |
¬ mince words,to say smth clearly and directlymince no words
'Elxcity in Spain,Elche
'military drill,military training
'millenniumtime period of 1000 years; thousandth year anniversary,millennia | millenniumsK
'pBP7QBP7N7N) BP7N'7BP7QN),BP7N
'rote learning,learning by repetition
(!committed to prison,be sent to prison
('G,",PEN'"
"(J,",DHF
(P/Q,F8J
(Rthrow curve balls,to surprise (smo) with a problem
(speakto talk to utter wordsR,spokespoken
+7it's none of your business,none of your business
+HE,E9EQ
+N(N*N,13.
+N(QN,*NEQN
+Wif worst comes to worst,in the worst caseworst come to worst
",,gladhappy delighted; causing delight",gladder | gladdestB |
",JE",",JEFJ2JHE"
",N-RAND",",N-N'APDO"
",N/Q",3DA
",NDND",G'EQ
",NDR.",E3QF
",NEND",",PEN'D"
",NEQ",",N'EQ"
",NFRJ",*-BJB
",OHF",".DJ,"
",PDQ",EO3PFQ
-(Q,-NFN'F
-algia,a suffixed word denoting pain
-algic,a suffixed word denoting pain
-cephalic,headed relating to the head | headed | relating to the head
-DQ,ACQ
-morphous,having a certain form
-mouthed,having a certain mouth
-N/QN+N,1HI
-NBNFN,21B
-NBQN,-NBQN DG
-NBRF,21B
-NCNI,'P-RCP
-NCPJE,AJD3HA
-NDNB,BO1R
-NDPJA,-ODNAN'
-NDPJD,"2H,"
-NENDN,'P-REPDR
-NHRDN,EF -HD
-NJNHJQ,",HG1J"
-NJRA,8DE
-O(Q,GHI
"-O,QN)",H+JB)
-ODRE,EF 'D-DE
-OEQNI,-OEQNJN'
-OHD,-NHRD'
-thymia,condition of mind state of mind | condition of mind | state of mind
-wise,in a specific way
-wort,a suffix used in names of plants (e.g. lousewort liverwort) | a suffix used in names of plants (e.g. lousewort | liverwort)
.AA,GHQF
.DHJ,1JAJ
.N(QN#N,J.(QP
.N/Q,.O/OH
.NANI,'P.RAP
.NAPJN,'P.RAN
.NAPJQ,.NAN'JN'
.NAQI,.NAQP
.NARB,'DBD(
.ND',HNBR
".NDPJ,",".ODR,N'F"
.NDPJD,94JB
.NDQNBN,7NJQN(N
.NDQNI,'DEC'F
.NDRB,E.DHB'
.NHR.,(1BHB
.NHRDPJQ,E41A
.NJRD,.OJOHD
.PDRBPJF,"EP1,ND C(J"
.PDRBPJQ,7N(PJ9PJQ
/9chip on one's shoulder,habitually combative attitude
/loftypompous arrogant,loftier | loftiest
/N(Q,2-A
/NE,/PEN'
00 6bone of contention,a controversial issue
10th,tenth
16th,sixteenth
16th century,the sixteenth century
17th,seventeenth
1st,first
20-20 hindsight,perfect understanding of an event after it has happened
2aAvasoconstriction,contraction of blood vessels
2nd,second
2swankimposingly fashionable and elegant,swanker | swankest
2youngnot tried or tested by experience,younger | youngest%C
3rd,third
4out of proportion,not in proportion
4th,fourth
5crispbrittle tender,crisper | crispest
5th,fifth
6cleaveR#clove cleft cleaved,cloven | cleft | cleaved
6th,sixth
7.smallnot big little limited; young; not important,smaller | smallestD
7i3shaketo weaken cause to be unstableM,shookshaken
7sputumsaliva phlegm,sputa%b
7th,seventh
8cavilto make petty or unnecessary objections,caviled | cavilledcaviled | cavilledcaviling | cavilling
8th,eighth
9neurohypophysis,the posterior pituitary glandneurohypophyses
9th,ninth
:'D,BAD
:NDRJOHF,:ND'JPJFO
:NEPJB,:PEN'B
:NEQ,:OEOHE
:tipsydrunk slightly intoxicated,tipsier | tipsiest
;chastepure simple modest,chaster | chastestM
;flakymade of flakes; having flakes,flakier | flakiest
=judiciousness,sensibleness | good judgement
=zlysisdiminution in the symptoms of a disease,lyses
">""Gperfidiousness",deceitfulness | untrustworthiness
>behind the times,out-of-date | backward
?Heart of Darkness,novella written by the Polish-born writer Joseph Conrad (published 1902)
?sheeptype of domesticated mammal,sheepR
@throw a curve ball,to surprise (smo) with a problem
@throw a monkey wrench,to cause smth to failthrow a wrench
[4solmizationsolfeggio solf,ge syllables
]stroppyargumentative,stroppier | stroppiest
^ \condicio sine qua non,an essential condition
_get under one's skin,to irritate or upset someone
_starchyformal stiff,starchier | starchiest
a bit,a small amount
a coarse woman,fishwives
a couple of,a few some
a dime a dozen,very common
a far cry,a remote connection only
a few,not many but some
a few days ago,the other day
a fortiori,by a stronger reason
A Go-Go,in abundance
a good deal,largely a lot
a great deal,largely a lot
a host of,a large number of
a little,slightly | a small amount
a minor sin,peccadillos peccadilloes
a posteriori,empiric based on observed facts | empiric | based on observed facts
a priori,basing on theoretical considerations | based on theoretical considerations
a raft of,a large number or amount or extent of
a result,children
a tad,a little slightly
a thought,to a small extent
a ton of,a lot of a large | a lot of | a largenumber of
a while,a period of time
A'DB,AH'DB
A*F,J3(PJ
A-bomb,atomic bomb
A-OK,OK all right
A-okay,OK all right
A-one,excellent of the highest quality
a.k.a.,also known as
A.M.,ante meridiem
A;dgwealthyrich having abundant financial means,wealthier | wealthiest
AAA,authentication authorization and accounting computer security protocol | authentication | authorization and accounting | computer security protocolM
AAAS,American Association for the Advancement of Science
Aachen,city in western Germany
Aal,Indian mulberry
Aam,Dutch and German measure of liquids
AAP,Association of American Publishers
aardvark,type of African ant bear
aardwolf,African striped hyena that feeds mainly on insects
Aarhus,port city in Denmark
Aaron,the elder brother of Moses
Aaronic,of priests
Aaronical,of priests
AARP,Association for the Advancement of Retired Persons
AAS,associate degree in applied science
aasvogel,type of South African vulture
AAU,Amateur Athletic Union
ab initio,from the beginning
ab ovo,from the begining lit. 'from the egg'
ab-,away
aba,abaya
Abaca,Philippine banana tree
abacinate,to cause blindness using a red-hot metal
aback,to the back backwards | to the back | backwardsB
abacterial,not bacterial
abacus,abacuses abaci
abada,rhinoceros
Abaddon,Apollyon angel of hell | hell
abaft,at the stern of a ship
abaisance,obeisance bowing | obeisance | bowing
abaist,confounded abashed
abalone,ear-shell
abampere,unit of electric current equal to 10 amperes
aband,to abandon; to expel
abandon,reckless freedom from inhibition or worry | to give up (an action or practice) completely; to forsake to leave behind
abandoned,deserted
abandonedly,in an unrestrained manner
Abarim,mountain range across Jordan
abarognosis,lack of ability to sense weight
abase,to degrade to humiliate
abash,to embarrass to cause (smo) to feel ashamed
abashedly,with embarrassment
abasia,inability to walk
abasic,relating to abasia | relating to abasia (inability to walk)
abate,to annul to remove | to become reduced | to calm to reduce | to become reducedM
abatement,decrease in the severity of a symptom
abater,smo who abates
abatic,relating to abasia (inability to walk)
abatis,a barrier of felled trees used as a defense line
abatisa barrier of felled trees used as a defense line,abattis | abbattis
abator,smo who abates
abattoir,a slaughterhouse
abaxial,far from the axis or the stem
abaxile,abaxial
abay,barking
abaya,long sleeveless garment
abb,an abbot
abbacy,the office of an abbot
abbatial,of an abbey
abbess,mother superior
abbey,church of a monastery | monastery | church of a monasteryB
abbot,head of an abbey
abbotship,abbacy
abbrev.,abbreviation
abbreviate,to shorten to abridge | to shorten | to abridgeR
abbreviated,shortened abridged
abbreviation,a shorten form (e.g. of a text); act of shortening or abridging
abbreviator,mso who abbreviates
abbreviatory,abridging
abbreviature,an abbreviation
Abbyville,city in Kansas USA
ABC,American Broadcasting Company
Abc,the ABC; the basics of a subject
Abd al-Malik,Caliph of the Umayyad dynasty (646-705)
Abdal,a dervish in Iran
Abdera,town in north Greece
abderian,foolish
Abderite,resident of Abdera
abdicable,capable of being discarded or renounced
abdicate,to give up (office) to resign
abditive,can hide having an ability to hide
abditory,hiding place for valuable things
abdomino-,of the abdomen
abdominohysterectomy,abdominal hysterectomy
abdominohysterotomy,abdominal hysterotomy
abdominoscopy,laparoscopy
abdominothoracic,of the abdomen and the thorax
abdominovaginal,of the abdomen and the vagina
abduct,to move away from the midline of the body | to kidnap
abduction,kidnapping
abductor,a kidnapper
Abdullah Ocalan,Kurdish leader
abeam,at a right angle to the body of the ship
abear,to bear to endure; to behave | to bear | to endure; to behave
abearance,behavior
abecedarius,poem of which the lines begin with letters by the alphabet order
abele,white poplar (type of tree)
abelia,type of shrub
abelmosk,type of evergreen shrub cultivated for its seeds; from Arabic lit. 'musk seeds'
ABEND,'ABnormal END' unexpected error in a computer program
