headword,pos,definition,examples,synonyms
a cappella,adjective,sung without instrumental accompaniment [adj.all],"they sang an a cappella Mass | ""they sang an a cappella Mass""",
a couple of,adjective,more than one but indefinitely small in number [adj.all],"a few roses | a couple of roses | ""a few roses"" | ""a couple of roses""","a few(a), a couple of(a)"
a few,adjective,more than one but indefinitely small in number [adj.all],"a few roses | a couple of roses | ""a few roses"" | ""a couple of roses""","a few(a), a couple of(a)"
a la carte,adjective,(of a restaurant meal) having unlimited choices with a separate price for each item [adj.all],,
a la mode,adjective,in the current fashion or style [adj.all],,"latest, a la mode(p), in style(p), in vogue(p), modish"
a posteriori,adjective,involving reasoning from facts or particulars to general principles or from effects to causes [adj.all] | requiring evidence for validation or support [adj.all],"a posteriori demonstration | ""a posteriori demonstration""",
a priori,adjective,involving deductive reasoning from a general principle to a necessary effect [adj.all] | based on hypothesis or theory rather than experiment [adj.all],"an a priori judgment | not supported by fact | ""an a priori judgment""",
a-ok,adjective,in perfect condition or order [adj.all],,"a-ok(p), a-okay(p)"
a-okay,adjective,in perfect condition or order [adj.all],,"a-ok(p), a-okay(p)"
a-one,adjective,of the highest quality [adj.all],an ace reporter | a crack shot | a first-rate golfer | a super party | played top-notch tennis,"ace, crack, first-rate, super, tiptop, topnotch, top-notch, tops(p)"
a.m.,adjective,before noon [adj.all],,ante meridiem
abactinal,adjective,(of radiate animals) located on the surface or end opposite to that on which the mouth is situated [adj.all],,
abandoned,adjective,forsaken by owner or inhabitants [adj.all] | free from constraint [adj.all],"weed-grown yard of an abandoned farmhouse | ""weed-grown yard of an abandoned farmhouse"" | an abandoned sadness born of grief | ""an abandoned sadness born of grief""- Liam O'Flaherty","derelict, deserted"
abashed,adjective,feeling or caused to feel uneasy and self-conscious [adj.all],"felt abashed at the extravagant praise | chagrined at the poor sales of his book | was embarrassed by her child's tantrums | ""felt abashed at the extravagant praise"" | ""chagrined at the poor sales of his book""","chagrined, embarrassed"
abasic,adjective,of or relating to abasia (inability to walk) [adj.pert],,abatic
abatable,adjective,capable of being abated [adj.all],,
