headword,definition
'hood,[noun] (slang) a neighborhood [noun.location]
's gravenhage,[noun] the site of the royal residence and the de facto capital in the western part of the Netherlands [noun.location]
'tween,[adverb] in between [adv.all]
'tween decks,"[adverb] in the space between decks, on a ship [adv.all]"
a,[noun] a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron) [noun.quantity] | any of several fat-soluble vitamins essential for normal vision [noun.substance] | one of the four nucleotides used in building DNA [noun.substance] | (biochemistry) purine base found in DNA and RNA [noun.substance] | the basic unit of electric current adopted under the Systeme International d'Unites [noun.quantity] | the 1st letter of the Roman alphabet [noun.communication] | the blood group whose red cells carry the A antigen [noun.body]
a battery,[noun] the battery used to heat the filaments of a vacuum tube [noun.artifact]
a bit,[adverb] to a small degree [adv.all]
a capella singing,[noun] singing without instrumental accompaniment [noun.act]
a cappella,[adjective] sung without instrumental accompaniment [adj.all] | without musical accompaniment [adv.all]
a cappella singing,[noun] singing without instrumental accompaniment [noun.act]
a couple of,[adjective] more than one but indefinitely small in number [adj.all]
a few,[adjective] more than one but indefinitely small in number [adj.all]
a fortiori,[adverb] with greater reason [adv.all]
a good deal,[adverb] to a very great degree or extent [adv.all]
a great deal,[adverb] to a very great degree or extent [adv.all] | frequently or in great quantities [adv.all]
a horizon,[noun] the top layer of a soil profile [noun.location]
a hundred times,[adverb] by a factor of one hundred [adv.all]
a kempis,[noun] German ecclesiastic (1380-1471) [noun.person]
a la carte,[noun] a menu having individual dishes listed with separate prices [noun.communication] | (of a restaurant meal) having unlimited choices with a separate price for each item [adj.all] | by ordering items listed individually on a menu [adv.all]
a la mode,[adjective] in the current fashion or style [adj.all] | with ice cream on top or on the side [adv.all]
a level,[noun] the advanced level of a subject taken in school (usually two years after O level) [noun.state]
a little,[adverb] to a small degree [adv.all]
a lot,[adverb] to a very great degree or extent [adv.all]
a million times,[adverb] by a factor of a million [adv.all]
a posteriori,[adjective] involving reasoning from facts or particulars to general principles or from effects to causes [adj.all] | requiring evidence for validation or support [adj.all] | derived from observed facts [adv.all]
a priori,"[adjective] involving deductive reasoning from a general principle to a necessary effect [adj.all] | based on hypothesis or theory rather than experiment [adj.all] | derived by logic, without observed facts [adv.all]"
a trifle,[adverb] to a small degree [adv.all]
a'man,[noun] the Israeli military intelligence which produces comprehensive national intelligence briefings for the prime minister and the cabinet [noun.group]
a-bomb,[noun] a nuclear weapon in which enormous energy is released by nuclear fission (splitting the nuclei of a heavy element like uranium 235 or plutonium 239) [noun.artifact]
a-horizon,[noun] the top layer of a soil profile [noun.location]
a-line,[noun] women's clothing that has a fitted top and a flared skirt that is widest at the hemline [noun.artifact]
a-list,[noun] a list of names of specially favored people [noun.communication]
a-ok,[adjective] in perfect condition or order [adj.all]
a-okay,[adjective] in perfect condition or order [adj.all]
a-one,[adjective] of the highest quality [adj.all]
a-scan ultrasonography,[noun] the use of ultrasonography to measure the length of the eyeball [noun.act]
a-team,[noun] a group of elite soldiers or a leadership group of advisors or workers in an organization [noun.group]
a. a. michelson,[noun] United States physicist (born in Germany) who collaborated with Morley in the Michelson-Morley experiment (1852-1931) [noun.person]
a. a. milne,[noun] English writer of stories for children (1882-1956) [noun.person]
a. conan doyle,[noun] British author who created Sherlock Holmes (1859-1930) [noun.person]
a. e. burnside,[noun] United States general in the American Civil War who was defeated by Robert E. Lee at the Battle of Fredericksburg (1824-1881) [noun.person]
a. e. housman,[noun] English poet (1859-1936) [noun.person]
a. e. kennelly,[noun] United States electrical engineer noted for his work on the theory of alternating currents [noun.person]
a. e. w. mason,[noun] English writer (1865-1948) [noun.person]
a. noam chomsky,[noun] United States linguist whose theory of generative grammar redefined the field of linguistics (born 1928) [noun.person]
a. testudineus,[noun] a small perch of India whose gills are modified to allow it to breathe air [noun.animal]
a.d.,[adverb] in the Christian era [adv.all]
a.e.,[noun] Irish writer whose pen name was A.E. (1867-1935) [noun.person]
a.k.a.,[adverb] as known or named at another time or place [adv.all]
a.m.,[adjective] before noon [adj.all] | before noon [adv.all]
aa,[noun] a dry form of lava resembling clinkers [noun.substance] | an international organization that provides a support group for persons trying to overcome alcoholism [noun.group] | an associate degree in arts [noun.communication]
aaa,[noun] an aneurysm of the abdominal aorta associated with old age and hypertension [noun.state]
aachen,[noun] a city in western Germany near the Dutch and Belgian borders [noun.location]
aah,[verb] express admiration and pleasure by uttering `ooh' or `aah' [verb.communication]
aaland islands,"[noun] an archipelago of some 6,000 islands in the Gulf of Bothnia under Finnish control [noun.location]"
aalborg,[noun] a city and port in northern Jutland [noun.location]
aalii,[noun] a small Hawaiian tree with hard dark wood [noun.plant]
aalst,[noun] a town in central Belgium [noun.location]
aalto,[noun] Finnish architect and designer of furniture (1898-1976) [noun.person]
aar,[noun] a river in north central Switzerland that runs northeast into the Rhine [noun.object]
aardvark,[noun] nocturnal burrowing mammal of the grasslands of Africa that feeds on termites [noun.animal]
aardwolf,[noun] striped hyena of southeast Africa that feeds chiefly on insects [noun.animal]
aare,[noun] a river in north central Switzerland that runs northeast into the Rhine [noun.object]
aare river,[noun] a river in north central Switzerland that runs northeast into the Rhine [noun.object]
