headword,pos,definition,examples,synonyms
aah,verb,express admiration and pleasure by uttering `ooh' or `aah' [verb.communication],"They oohed and aahed when they unwrapped the presents | ""They oohed and aahed when they unwrapped the presents""",ooh
abacinate,verb,blind by holding a red-hot metal plate before someone's eyes [verb.perception],"The prisoners were abacinated by their captors | ""The prisoners were abacinated by their captors""",
abandon,verb,"forsake, leave behind [verb.possession] | give up with the intent of never claiming again [verb.possession] | leave behind empty [verb.motion] | stop maintaining or insisting on [verb.cognition] | leave someone who needs or counts on you [verb.cognition]","We abandoned the old car in the empty parking lot | ""We abandoned the old car in the empty parking lot"" | Abandon your life to God | She gave up her children to her ex-husband when she moved to Tahiti | We gave the drowning victim up for dead","give up, vacate, empty, forsake, desolate, desert"
abase,verb,cause to feel shame [verb.emotion],"He humiliated his colleague by criticising him in front of the boss | hurt the pride of | ""He humiliated his colleague by criticising him in front of the boss""","humiliate, mortify, chagrin, humble"
abash,verb,cause to be embarrassed [verb.emotion],cause to feel self-conscious,embarrass
abate,verb,make less active or intense [verb.change] | become less in amount or intensity [verb.change],"The storm abated | The rain let up after a few hours | ""The storm abated"" | ""The rain let up after a few hours""","slake, slack, let up, slack off, die away"
abbreviate,verb,reduce in scope while retaining essential elements [verb.change] | shorten [verb.change],"The manuscript must be shortened | ""The manuscript must be shortened"" | Abbreviate `New York' and write `NY' | ""Abbreviate `New York' and write `NY'""","abridge, foreshorten, shorten, cut, contract, reduce"
abdicate,verb,"give up, such as power, as of monarchs and emperors, or duties and obligations [verb.social]","The King abdicated when he married a divorcee | ""The King abdicated when he married a divorcee""",renounce
abduce,verb,advance evidence for [verb.communication],,"adduce, cite"
abduct,verb,take away to an undisclosed location against their will and usually in order to extract a ransom [verb.contact] | pull away from the body [verb.contact],"The industrialist's son was kidnapped | ""The industrialist's son was kidnapped"" | this muscle abducts | ""this muscle abducts""","kidnap, nobble, snatch"
aberrate,verb,diverge from the expected [verb.stative] | diverge or deviate from the straight path [verb.stative],"The President aberrated from being a perfect gentleman | ""The President aberrated from being a perfect gentleman"" | The surfaces of the concave lens may be proportioned so as to aberrate exactly equal to the convex lens | produce aberration | ""The surfaces of the concave lens may be proportioned so as to aberrate exactly equal to the convex lens""",
abet,verb,"assist or encourage, usually in some wrongdoing [verb.social]",,
abhor,verb,find repugnant [verb.emotion],"I loathe that man | She abhors cats | ""I loathe that man"" | ""She abhors cats""","loathe, abominate, execrate"
abide,verb,dwell [verb.stative],"You can stay with me while you are in town | stay a bit longer--the day is still young | ""You can stay with me while you are in town"" | ""stay a bit longer--the day is still young""","bide, stay"
abide by,verb,"act in accordance with someone's rules, commands, or wishes [verb.social] | show respect towards [verb.social]","He complied with my instructions | You must comply or else! | Follow these simple rules | abide by the rules | ""He complied with my instructions""","comply, follow, respect, honor, honour, observe"
abjure,verb,"formally reject or disavow a formerly held belief, usually under pressure [verb.communication]","He retracted his earlier statements about his religion | She abjured her beliefs | ""He retracted his earlier statements about his religion"" | ""She abjured her beliefs""","recant, forswear, retract, resile"
ablactate,verb,gradually deprive (infants and young mammals) of mother's milk [verb.consumption],"she weaned her baby when he was 3 months old and started him on powdered milk | The kitten was weaned and fed by its owner with a bottle | ""she weaned her baby when he was 3 months old and started him on powdered milk"" | ""The kitten was weaned and fed by its owner with a bottle""",wean
ablate,verb,wear away through erosion or vaporization [verb.change] | remove an organ or bodily structure [verb.change],,
abnegate,verb,deny oneself (something) [verb.possession] | surrender (power or a position) [verb.competition] | deny or renounce [verb.communication],"She denied herself wine and spirits | restrain, especially from indulging in some pleasure | ""She denied herself wine and spirits"" | The King abnegated his power to the ministers | ""The King abnegated his power to the ministers""",deny
abolish,verb,do away with [verb.social],"Slavery was abolished in the mid-19th century in America and in Russia | ""Slavery was abolished in the mid-19th century in America and in Russia""",get rid of
abominate,verb,find repugnant [verb.emotion],"I loathe that man | She abhors cats | ""I loathe that man"" | ""She abhors cats""","abhor, loathe, execrate"
abort,verb,"terminate before completion [verb.change] | cease development, die, and be aborted [verb.body] | terminate a pregnancy by undergoing an abortion [verb.body]","abort the mission | abort the process running on my computer | ""abort the mission"" | ""abort the process running on my computer"" | an aborting fetus",
abound,verb,be abundant or plentiful [verb.stative] | be in a state of movement or action [verb.stative],"exist in large quantities | The room abounded with screaming children | The garden bristled with toddlers | ""The room abounded with screaming children"" | ""The garden bristled with toddlers""","burst, bristle"
abound in,verb,exist in large quantity [verb.stative],,"teem in, pullulate with"
about-face,verb,"turn, usually 180 degrees [verb.motion] | change one's mind and assume the opposite viewpoint [verb.cognition]",,
abrade,verb,wear away [verb.contact] | rub hard or scrub [verb.contact],"scour the counter tops | ""scour the counter tops""","corrade, abrase, rub down, rub off, scour"
abrase,verb,wear away [verb.contact],,"abrade, corrade, rub down, rub off"
abreact,verb,discharge bad feelings or tension through verbalization [verb.emotion],,
abridge,verb,"reduce in scope while retaining essential elements [verb.change] | lessen, diminish, or curtail [verb.change]","The manuscript must be shortened | ""The manuscript must be shortened"" | the new law might abridge our freedom of expression | ""the new law might abridge our freedom of expression""","foreshorten, abbreviate, shorten, cut, contract, reduce"
abrogate,verb,revoke formally [verb.social],,
abscise,verb,shed flowers and leaves and fruit following formation of a scar tissue [verb.contact] | remove or separate by abscission [verb.contact],,
abscond,verb,run away [verb.motion],"The thief made off with our silver | the accountant absconded with the cash from the safe | usually includes taking something or somebody along | ""The thief made off with our silver"" | ""the accountant absconded with the cash from the safe""","bolt, absquatulate, decamp, run off, go off, make off"
abseil,verb,lower oneself with a rope coiled around the body from a mountainside [verb.motion],"The ascent was easy--roping down the mountain would be much more difficult and dangerous | You have to learn how to abseil when you want to do technical climbing | ""The ascent was easy--roping down the mountain would be much more difficult and dangerous"" | ""You have to learn how to abseil when you want to do technical climbing""","rappel, rope down"
absent,verb,go away or leave [verb.change],"He absented himself | ""He absented himself""",remove
absolve,verb,grant remission of a sin to [verb.communication] | let off the hook [verb.communication],"The priest absolved him and told him to say ten Hail Mary's | ""The priest absolved him and told him to say ten Hail Mary's"" | I absolve you from this responsibility | ""I absolve you from this responsibility""","shrive, justify, free"
absorb,verb,"become imbued [verb.contact] | take up mentally [verb.cognition] | take up, as of debts or payments [verb.possession] | take in, also metaphorically [verb.contact] | cause to become one with [verb.change] | suck or take up or in [verb.weather] | devote (oneself) fully to [verb.cognition] | assimilate or take in [verb.contact] | consume all of one's attention or time [verb.cognition]","The liquids, light, and gases absorb | ""The liquids, light, and gases absorb"" | he absorbed the knowledge or beliefs of his tribe | ""he absorbed the knowledge or beliefs of his tribe"" | absorb the costs for something","assimilate, ingest, take in, take over, suck, imbibe, soak up, sop up, suck up, draw, take up, steep, immerse, engulf, plunge, engross, engage, occupy"
absquatulate,verb,run away [verb.motion],"The thief made off with our silver | the accountant absconded with the cash from the safe | usually includes taking something or somebody along | ""The thief made off with our silver"" | ""the accountant absconded with the cash from the safe""","abscond, bolt, decamp, run off, go off, make off"
abstain,verb,refrain from voting [verb.social] | choose not to consume [verb.consumption],"I abstain from alcohol | ""I abstain from alcohol""","refrain, desist"
abstract,verb,consider a concept without thinking of a specific example [verb.cognition] | consider apart from a particular case or instance [verb.cognition] | give an abstract (of) [verb.communication],"consider abstractly or theoretically | Let's abstract away from this particular example | ""Let's abstract away from this particular example""",
abuse,verb,treat badly [verb.social] | change the inherent purpose or function of something [verb.change] | use foul or abusive language towards [verb.communication] | use wrongly or improperly or excessively [verb.change],"This boss abuses his workers | She is always stepping on others to get ahead | ""This boss abuses his workers"" | ""She is always stepping on others to get ahead"" | Don't abuse the system","mistreat, maltreat, ill-use, step, ill-treat, pervert, misuse, clapperclaw, blackguard, shout"
abut,verb,lie adjacent to another or share a boundary [verb.contact],"Canada adjoins the U.S. | England marches with Scotland | ""Canada adjoins the U.S."" | ""England marches with Scotland""","border, adjoin, edge, march, butt, butt against, butt on"
aby,verb,make amends for [verb.social],"expiate one's sins | ""expiate one's sins""","expiate, abye, atone"
abye,verb,make amends for [verb.social],"expiate one's sins | ""expiate one's sins""","expiate, aby, atone"
accede,verb,yield to another's wish or opinion [verb.communication] | take on duties or office [verb.social] | to agree or express agreement [verb.communication],"The government bowed to the military pressure | ""The government bowed to the military pressure"" | accede to the throne | ""accede to the throne"" | The Maestro assented to the request for an encore","submit, bow, defer, give in, enter, assent, acquiesce"
accelerate,verb,move faster [verb.change] | cause to move faster [verb.change],"The car accelerated | ""The car accelerated"" | He accelerated the car | ""He accelerated the car""","speed up, speed, quicken"
accent,verb,"to stress, single out as important [verb.communication] | put stress on [verb.communication]","Dr. Jones emphasizes exercise in addition to a change in diet | ""Dr. Jones emphasizes exercise in addition to a change in diet"" | In Farsi, you accent the last syllable of each word | utter with an accent | ""In Farsi, you accent the last syllable of each word""","stress, emphasize, emphasise, punctuate, accentuate"
accentuate,verb,"to stress, single out as important [verb.communication] | put stress on [verb.communication]","Dr. Jones emphasizes exercise in addition to a change in diet | ""Dr. Jones emphasizes exercise in addition to a change in diet"" | In Farsi, you accent the last syllable of each word | utter with an accent | ""In Farsi, you accent the last syllable of each word""","stress, emphasize, emphasise, punctuate, accent"
accept,verb,"consider or hold as true [verb.cognition] | receive willingly something given or offered [verb.possession] | give an affirmative reply to [verb.communication] | react favorably to [verb.cognition] | admit into a group or community [verb.possession] | take on as one's own the expenses or debts of another person [verb.possession] | tolerate or accommodate oneself to [verb.cognition] | be designed to hold or take [verb.stative] | receive (a report) officially, as from a committee [verb.possession] | make use of or accept for some purpose [verb.possession] | be sexually responsive to, used of a female domesticated mammal [verb.cognition]","I cannot accept the dogma of this church | accept an argument | ""I cannot accept the dogma of this church"" | ""accept an argument"" | The only girl who would have him was the miller's daughter","take, have, consent, go for, admit, take on, bear, take over, assume, live with, swallow"
access,verb,obtain or retrieve from a storage device [verb.possession] | reach or gain access to [verb.motion],"as of information on a computer | How does one access the attic in this house? | I cannot get to the T.V. antenna, even if I climb on the roof | ""How does one access the attic in this house?"" | ""I cannot get to the T.V. antenna, even if I climb on the roof""",get at
accession,verb,"make a record of additions to a collection, such as a library [verb.communication]",,
acclaim,verb,praise vociferously [verb.communication] | clap one's hands or shout after performances to indicate approval [verb.communication],"The critics hailed the young pianist as a new Rubinstein | ""The critics hailed the young pianist as a new Rubinstein""","hail, herald, applaud, clap, spat"
acclimate,verb,get used to a certain climate [verb.change],"They never acclimatized in Egypt | ""They never acclimatized in Egypt""","acclimatize, acclimatise"
acclimatise,verb,get used to a certain climate [verb.change],"They never acclimatized in Egypt | ""They never acclimatized in Egypt""","acclimatize, acclimate"
acclimatize,verb,get used to a certain climate [verb.change],"They never acclimatized in Egypt | ""They never acclimatized in Egypt""","acclimatise, acclimate"
accommodate,verb,"be agreeable or acceptable to [verb.stative] | make fit for, or change to suit a new purpose [verb.change] | provide with something desired or needed [verb.consumption] | have room for [verb.stative] | provide housing for [verb.stative] | provide a service or favor for someone [verb.communication] | make (one thing) compatible with (another) [verb.change]","This suits my needs | ""This suits my needs"" | Adapt our native cuisine to the available food resources of the new country | ""Adapt our native cuisine to the available food resources of the new country"" | Can you accommodate me with a rental car?","suit, fit, adapt, hold, admit, lodge, oblige, reconcile, conciliate"
accompany,verb,be present or associated with an event or entity [verb.stative] | go or travel along with [verb.motion] | perform an accompaniment to [verb.creation] | be a companion to somebody [verb.stative],"French fries come with the hamburger | heart attacks are accompanied by distruction of heart tissue | fish usually goes with white wine | this kind of vein accompanies certain arteries | ""French fries come with the hamburger""","attach to, come with, go with, play along, follow, company, companion, keep company"
accomplish,verb,put in effect [verb.creation] | to gain with effort [verb.social],"carry out a task | execute the decision of the people | He actioned the operation | ""carry out a task"" | ""execute the decision of the people""","carry through, execute, carry out, action, fulfill, fulfil, achieve, attain, reach"
