Source,Headword,Definition
A Concise English- Arabic,a far cry,مسافة بعيدة . بونٌ شاسع
A Concise English- Arabic,differenceEaardvark,اسْم : خِنْزِيرُ الأَرْض
A Concise English- Arabic,abasement,اسْم : إِذْلال . مَهَانَة . هَوَان . حِطَّة . اِتِّضاع
A Concise English- Arabic,abashment,اسْم : خَجَل
A Concise English- Arabic,abatement,اسْم : إلغاء . إنقاض
A Concise English- Arabic,abatements9abating,صِفَة : خامِد
A Concise English- Arabic,abattoirsFabbacy,اسْم : رئاسة دَيْر
A Concise English- Arabic,abbreviate,فِعْل : يختصر . يُوجز . يختزل
A Concise English- Arabic,abdicable,صِفَة : مُمْكِنٌ التَّنَازُلُ عَنْه
A Concise English- Arabic,abdication,اسْم : تنازلٌ عن عرش الخ
A Concise English- Arabic,abdominal,صِفَة : بَطْنيّ . جَوْفيّ
A Concise English- Arabic,abductingabductsOabducted,صِفَة : شَخْص مَخْطُوف . مُخْتَطَف
A Concise English- Arabic,abduction,اسْم : خَطْف . إبعاد
A Concise English- Arabic,abductionsCabductor,اسْم : خاطِف . خَطَّاف
A Concise English- Arabic,aberrance,اسْم : ضَلال . زَيْغ . انحراف . شذوذ
A Concise English- Arabic,aberrancesOaberrant,صِفَة : ضالّ . زائغ . منحرف . شاذّ
A Concise English- Arabic,aberration,اسْم : ضلال . زَيْغ . انحراف
A Concise English- Arabic,abeyancesEabeyant,صِفَة : مُعَلَّق . عَالِق
A Concise English- Arabic,abhorringabhors=abhorred,صِفَة : مَبْغُوض
A Concise English- Arabic,abhorrence,اسْم : مَقْت . اشمئزاز
A Concise English- Arabic,abhorrent,صِفَة : ماقتٌ . مشمئز . مضادّ . متنافٍ مع . بغيض
A Concise English- Arabic,abilities,اسْم جَمْع : مُؤَهِّلات
A Concise English- Arabic,abilitiesGabiogenesis,اسْم : تَوَلُّدٌ ذاتِيّ
A Concise English- Arabic,abjectness,اسْم : ذُلّ
A Concise English- Arabic,ablutionsGably,حال : بمقدرة . ببراعة . بمهارة
A Concise English- Arabic,abnormally,حال : على نحو شاذّ أو غير سَوِيّ
A Concise English- Arabic,abolished,صِفَة : لاغٍ . مَمْحُوّ
A Concise English- Arabic,abolishing,صِفَة : مُبْطِل
A Concise English- Arabic,abolition,اسْم : إلغاء . إبطال . مَحْو
A Concise English- Arabic,abolitionsXabolitionist,اسْم : مُؤَيِّدٌ لإِبْطالِ الاسْتِرْقاق
A Concise English- Arabic,abominable,صِفَة : بَغيض . مَقيْت. رديء
A Concise English- Arabic,abominate,فِعْل : يُبغِض أو يمقت بشدّة
A Concise English- Arabic,aboriginal,صِفَة : بدائيّ . متعلّق بأهل البلاد الأصليين القدماء
A Concise English- Arabic,aborigine,اسْم : أحد أبناء البلاد الأصليين القدماء
A Concise English- Arabic,aboriginesgabort,فِعْل : تُجهِض المرأةُ . يُجهض المرأة
A Concise English- Arabic,aborticide,اسْم : مُجْهِض
A Concise English- Arabic,abortionsTabortionist,اسْم : مُحْتَرفُ الإِجْهاض . جَهَّاض
A Concise English- Arabic,abrasionsabrasive,صِفَة : كاشط اسْم : مادة كاشطة
A Concise English- Arabic,abreaction,اسْم : تَنْفِيس . تَصْرِيف
A Concise English- Arabic,abridgingabridgesHabridged,صِفَة : مُخْتَصَرٌ . مُوجَز
A Concise English- Arabic,abridgment,اسْم : اِخْتِصَار . تَلْخِيص . مُخْتَصَر . مُوجَز . خلاصَة . مُلَخَّص . إِيجاز . إِجْمال . اِقْتِضاب . تَقْصِير
A Concise English- Arabic,abrogating,صِفَة : مُلْغ . ناسِخ
A Concise English- Arabic,abrogation,اسْم : إِلْغاء . اِسْتِنْساخ . نَسْخ . فَسْخ . نَقْض
A Concise English- Arabic,abruptness,اسْم : فَظَاظَة . خُطُورَة
A Concise English- Arabic,abscission,اسْم : اِسْتِئْصال
A Concise English- Arabic,absentingabsentsOabsentee,اسْم : الغائب . المتغيّب
A Concise English- Arabic,absenteesabsenteeism,اسْم : تَخَلُّفٌ عَنِ الحُضُور . التَّغَيُّبُ المُتَطَاوِل . غِيَاب . غَيْب . مَغِيب
A Concise English- Arabic,absolutely,حال : بكل ما في الكلمة من معنى . على نحو جازم أو قاطع . من غير ريب
A Concise English- Arabic,absolution,اسْم : حَلٌّ من واجب أو تبعة . غفران
A Concise English- Arabic,absolutism,اسْم : صَفْح . مَغْفِرَة . حِلَّة . بَرَاءة . تَبْرِئَة . إِبْراء . تَحِلَّة . إِعْفاء . إِعْتاق . تَحْرِيرٌ مِنْ حِمْلٍ أو عِبْءٍ أوِ الْتِزَام
A Concise English- Arabic,absolutist,اسْم : طاغِيَة . طاغٍ . مُسْتَبد
A Concise English- Arabic,absolvingabsolvesHabsolve from,يُحَلِّل مِنْ . يُبْرِئ مِنْ . يُحَرِّر مِنْ
A Concise English- Arabic,absorbable,صِفَة : قابلٌ لِلامْتِصاص
