headword,pos,definition,examples,synonyms
'tween,adverb,in between [adv.all],"two houses with a tree between | ""two houses with a tree between""",between
'tween decks,adverb,"in the space between decks, on a ship [adv.all]",,between decks
a bit,adverb,to a small degree [adv.all],"it's a bit warm | felt a little better | a trifle smaller | somewhat | ""it's a bit warm""","a little, a trifle"
a cappella,adverb,without musical accompaniment [adv.all],"they performed a cappella | ""they performed a cappella""",
a fortiori,adverb,with greater reason [adv.all],"if you are wrong then, a fortiori, so am I | for a still stronger, more certain reason | ""if you are wrong then, a fortiori, so am I""",
a good deal,adverb,to a very great degree or extent [adv.all],"I feel a lot better | we enjoyed ourselves very much | she was very much interested | this would help a great deal | ""I feel a lot better""","a lot, lots, a great deal, much, very much"
a great deal,adverb,to a very great degree or extent [adv.all] | frequently or in great quantities [adv.all],"I feel a lot better | we enjoyed ourselves very much | she was very much interested | this would help a great deal | ""I feel a lot better""","a lot, lots, a good deal, much, very much, often"
a hundred times,adverb,by a factor of one hundred [adv.all],"they money increased a hundredfold | ""they money increased a hundredfold""",hundredfold
a la carte,adverb,by ordering items listed individually on a menu [adv.all],"we ate a la carte | ""we ate a la carte""",
a la mode,adverb,with ice cream on top or on the side [adv.all],"we served the apple pie a la mode | ""we served the apple pie a la mode""",
a little,adverb,to a small degree [adv.all],"it's a bit warm | felt a little better | a trifle smaller | somewhat | ""it's a bit warm""","a bit, a trifle"
a lot,adverb,to a very great degree or extent [adv.all],"I feel a lot better | we enjoyed ourselves very much | she was very much interested | this would help a great deal | ""I feel a lot better""","lots, a good deal, a great deal, much, very much"
a million times,adverb,by a factor of a million [adv.all],"it increased a millionfold | ""it increased a millionfold""",millionfold
a posteriori,adverb,derived from observed facts [adv.all],,
a priori,adverb,"derived by logic, without observed facts [adv.all]",,
a trifle,adverb,to a small degree [adv.all],"it's a bit warm | felt a little better | a trifle smaller | somewhat | ""it's a bit warm""","a bit, a little"
a.d.,adverb,in the Christian era [adv.all],"in AD 200 | used before dates after the supposed year Christ was born | ""in AD 200""","AD, anno Domini"
a.k.a.,adverb,as known or named at another time or place [adv.all],"Mr. Smith, alias Mr. Lafayette | ""Mr. Smith, alias Mr. Lafayette""","alias, also known as"
a.m.,adverb,before noon [adv.all],"let's meet at 11 A.M. | ""let's meet at 11 A.M.""",ante meridiem
ab initio,adverb,at the beginning [adv.all],"at first he didn't notice anything strange | ""at first he didn't notice anything strange""",initially
aback,adverb,having the wind against the forward side of the sails [adv.all] | by surprise [adv.all],"the ship came up into the wind with all yards aback | ""the ship came up into the wind with all yards aback"" | taken aback by the caustic remarks | ""taken aback by the caustic remarks""",
abaft,adverb,at or near or toward the stern of a ship or tail of an airplane [adv.all],"stow the luggage aft | ships with square sails sail fairly efficiently with the wind abaft | the captain looked astern to see what the fuss was about | ""stow the luggage aft"" | ""ships with square sails sail fairly efficiently with the wind abaft""","aft, astern"
abaxially,adverb,in an abaxial manner [adv.all],,
abeam,adverb,at right angles to the length of a ship or airplane [adv.all],,
abed,adverb,in bed [adv.all],,
