headword,pos,definition,examples,synonyms
'hood,noun,(slang) a neighborhood [noun.location],,
's gravenhage,noun,the site of the royal residence and the de facto capital in the western part of the Netherlands [noun.location],seat of the International Court of Justice,"The Hague, Den Haag"
a,noun,a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron) [noun.quantity] | any of several fat-soluble vitamins essential for normal vision [noun.substance] | one of the four nucleotides used in building DNA [noun.substance] | (biochemistry) purine base found in DNA and RNA [noun.substance] | the basic unit of electric current adopted under the Systeme International d'Unites [noun.quantity] | the 1st letter of the Roman alphabet [noun.communication] | the blood group whose red cells carry the A antigen [noun.body],used to specify wavelengths of electromagnetic radiation | prevents night blindness or inflammation or dryness of the eyes | all four nucleotides have a common phosphate group and a sugar (ribose) | pairs with thymine in DNA and with uracil in RNA | a typical household circuit carries 15 to 50 amps,"angstrom, angstrom unit, vitamin A, antiophthalmic factor, axerophthol, deoxyadenosine monophosphate, adenine, ampere, amp, type A, group A"
a battery,noun,the battery used to heat the filaments of a vacuum tube [noun.artifact],,
a capella singing,noun,singing without instrumental accompaniment [noun.act],,a cappella singing
a cappella singing,noun,singing without instrumental accompaniment [noun.act],,a capella singing
a horizon,noun,the top layer of a soil profile [noun.location],usually contains humus,A-horizon
a kempis,noun,German ecclesiastic (1380-1471) [noun.person],,Thomas a Kempis
a la carte,noun,a menu having individual dishes listed with separate prices [noun.communication],,
a level,noun,the advanced level of a subject taken in school (usually two years after O level) [noun.state],,
a'man,noun,the Israeli military intelligence which produces comprehensive national intelligence briefings for the prime minister and the cabinet [noun.group],,
a-bomb,noun,a nuclear weapon in which enormous energy is released by nuclear fission (splitting the nuclei of a heavy element like uranium 235 or plutonium 239) [noun.artifact],,"atom bomb, atomic bomb, fission bomb, plutonium bomb"
a-horizon,noun,the top layer of a soil profile [noun.location],usually contains humus,A horizon
a-line,noun,women's clothing that has a fitted top and a flared skirt that is widest at the hemline [noun.artifact],"it is called the A-line because the effect resembles the capital letter A | ""it is called the A-line because the effect resembles the capital letter A""",
a-list,noun,a list of names of specially favored people [noun.communication],"the boss gave me his A-list of people we should try to recruit | ""the boss gave me his A-list of people we should try to recruit""",
a-scan ultrasonography,noun,the use of ultrasonography to measure the length of the eyeball [noun.act],,
a-team,noun,a group of elite soldiers or a leadership group of advisors or workers in an organization [noun.group],,
a. a. michelson,noun,United States physicist (born in Germany) who collaborated with Morley in the Michelson-Morley experiment (1852-1931) [noun.person],,"Michelson, Albert Michelson, Albert Abraham Michelson"
a. a. milne,noun,English writer of stories for children (1882-1956) [noun.person],,"Milne, Alan Alexander Milne"
a. conan doyle,noun,British author who created Sherlock Holmes (1859-1930) [noun.person],,"Conan Doyle, Arthur Conan Doyle, Sir Arthur Conan Doyle"
a. e. burnside,noun,United States general in the American Civil War who was defeated by Robert E. Lee at the Battle of Fredericksburg (1824-1881) [noun.person],,"Burnside, Ambrose Everett Burnside"
a. e. housman,noun,English poet (1859-1936) [noun.person],,"Housman, Alfred Edward Housman"
